Cod_Loc,IdProvincia,IdDepartamento,Observaciones,Categoria,Provincia,Departamento,Localidad,Título,Domicilio,CP,Web,E-Mail,Latitud,Longitud,Tipo_latitudlongitud,Fuente,tipo_gestion,Modalidad,Universidad,Facultad,Duración,Tipo de Duración,Nivel,Id Titulo,Vigencia,Temática,Año_actualizacion
06840010,06,06840,,Carreras Universitarias Culturales,Buenos Aires,Tres de Febrero,3 De Febrero,Licenciado en Música,Valentín Gómez 4828/38  ,1678,http://www.untref.edu.ar/,alumnos@untref.edu.ar,-34.6050369,-58.5643356,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad Tres de Febrero,Secretaría Académica,4,Años,Grado,2055,Vigente,Música,2020
06840010,06,06840,,Carreras Universitarias Culturales,Buenos Aires,Tres de Febrero,3 De Febrero,Interprete en Artes del Circo,Valentín Gómez 4828/38  ,1678,http://www.untref.edu.ar/,alumnos@untref.edu.ar,-34.6005241,-58.5615917,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad Tres de Febrero,Secretaría Académica,7,Cuatrimestres,PREGRADO,7817,Vigente,Teatro y Danza,2020
06840010,06,06840,,Carreras Universitarias Culturales,Buenos Aires,Tres de Febrero,3 De Febrero,Licenciado en Gestión del Arte y la Cultura,Valentín Gómez 4828/38  ,1678,http://www.untref.edu.ar/,alumnos@untref.edu.ar,-34.6050369,-58.5643356,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad Tres de Febrero,Secretaría Académica,4,Años,Grado,3541,Vigente,Gestión Cultural,2020
06840010,06,06840,,Carreras Universitarias Culturales,Buenos Aires,Tres de Febrero,3 De Febrero,Licenciado en Política y Administración de la Cultura - MD,Av .San Martin 2024  ,1678,http://www.untrefvirtual.edu.ar,infovirtual@untref.edu.ar,-34.6005241,-58.5615917,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,A Distincia,Universidad Tres de Febrero,UNTREF Virtual,4,Años,Grado,7145,Vigente,Gestión Cultural,2020
06840010,06,06840,,Carreras Universitarias Culturales,Buenos Aires,Tres de Febrero,3 De Febrero,Técnico en Gestión del Arte y la Cultura,Valentín Gómez 4828/38  ,1678,http://www.untref.edu.ar/,alumnos@untref.edu.ar,-34.6050369,-58.5643356,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad Tres de Febrero,Secretaría Académica,2,Años,Pregrado,6489,Vigente,Gestión Cultural,2020
06840010,06,06840,,Carreras Universitarias Culturales,Buenos Aires,Tres de Febrero,3 De Febrero,Ingeniero de Sonido,Valentín Gómez 4828/38  ,1678,http://www.untref.edu.ar/,alumnos@untref.edu.ar,-34.6050369,-58.5643356,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad Tres de Febrero,Secretaría Académica,5,Años,GRADO,7141,Vigente,Artes Audiovisuales,2020
06840010,06,06840,,Carreras Universitarias Culturales,Buenos Aires,Tres de Febrero,3 De Febrero,Licenciado en Artes Electrónicas,Valentín Gómez 4828/38  ,1678,http://www.untref.edu.ar/,alumnos@untref.edu.ar,-34.6050369,-58.5643356,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad Tres de Febrero,Secretaría Académica,4,Años,Grado,3534,Vigente,Artes Audiovisuales,2020
06035010,06,06035,,Carreras Universitarias Culturales,Buenos Aires,Avellaneda,Avellaneda,Magister en Estéticas Contemporáneas Latinoamericanas,Arenales 320  ,1870,http://www.undav.edu.ar,secacad@undav.edu.ar,-34.6678523,-58.3631153,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad Avellaneda,Departamento de Humanidades y Artes,2,Años,Posgrado,12413,Vigente,Artes Plásticas,2020
06035010,06,06035,,Carreras Universitarias Culturales,Buenos Aires,Avellaneda,Avellaneda,Técnico en Dirección de Orquestas y Coros Infantiles y Juveniles - MD,Arenales 320  ,1870,http://www.undav.edu.ar,secacad@undav.edu.ar,-34.6678523,-58.3631153,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,A Distincia,Universidad Avellaneda,Departamento de Humanidades y Artes,3,Años,Pregrado,11884,Vigente,Música,2020
06035010,06,06035,,Carreras Universitarias Culturales,Buenos Aires,Avellaneda,Avellaneda,Arquitecto,Mario Bravo 1460  ,1870,http://www.undav.edu.ar,secacad@undav.edu.ar,-34.6687835,-58.3981660,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad Avellaneda,"Departamento de Arquitectura, Diseño y Urbanismo",6,Años,Grado,118,Vigente,Arquitectura,2020
